order_number;created_at;total_ht;status;shipping_mode;payment_method;tax_amount;total_ttc;type;siret;company_name;first_name;last_name;civility;address;address2;postcode;town;pays;email;function;mobile;tel;fax;siret_ship;company_name_ship;first_name_ship;last_name_ship;civility_ship;address_ship;address2_ship;postcode_ship;town_ship;pays_ship;email_ship;function_ship;mobile_ship;tel_ship;fax_ship;id_ligne;id_produit;store;libelle;quantite;montant_ht;montant_ttc;total_ht;tva;duree_engagement;innovant;id_group;sku;category_ids;type_produit;createur_entreprise;portabilite_rio;portabilite_numero;portabilite_date;type_client;device;origin;idiccFrontal;CodeOffre;OrdreIce;type_acte
WCE260865;22/08/2017 11:08;116.70;En attente;;facturation;23.34;140.04;mobile;6,48025E+11;test;test;test;Mme;test;;75009;PARIS 09;France;;test;612121212;;;;;;;;;;;;;;;;;;3;3373;default;abondance 21 h vers fixes Maghreb;1;15.00;18.00;15.00;20.00;;classique;1;abondance-21-h-;;option_perso;;;;;OBS;MOBILE;boutique;;;;Foisonnement
WCE260865;22/08/2017 11:08;116.70;En attente;;facturation;23.34;140.04;mobile;6,48025E+11;test;test;test;Mme;test;;75009;PARIS 09;France;;test;612121212;;;;;;;;;;;;;;;;;;4;3191;equipements;Pack Multiadaptateur SIM;1;6.70;8.04;6.70;20.00;;;1;3,56129E+12;7,29,79;equipement;;;;;OBS;MOBILE;boutique;;;;Foisonnement
WCE260865;22/08/2017 11:08;116.70;En attente;;facturation;23.34;140.04;mobile;6,48025E+11;test;test;test;Mme;test;;75009;PARIS 09;France;;test;612121212;;;;;;;;;;;;;;;;;;5;3820;equipements;Support auto universel Samsung;1;29.00;34.80;29.00;20.00;;;1;8,80609E+12;7,29,81,83;equipement;;;;;OBS;MOBILE;boutique;;;;Foisonnement
WCE287377;22/08/2017 11:08;166.90;En attente de validation des documents;;rib;33.38;200.28;mobile;1,22222E+13;test test;TEST;TEST;Mme;10 rue adresse;;75010;PARIS 10;France;;DEV;600000000;;;;;;;;;;;;;;;;;;1;3414;telephone_mobile;Apple iPhone 5S Gris 16Go;1;119.90;143.88;119.90;20.00;;innovant1;1;219049;13,54,96,125;mobile;;;;;PROSPECT;desktop;boutique;;;;Foisonnement
WCE287377;22/08/2017 11:08;166.90;En attente de validation des documents;;rib;33.38;200.28;mobile;1,22222E+13;test test;TEST;TEST;Mme;10 rue adresse;;75010;PARIS 10;France;;DEV;600000000;;;;;;;;;;;;;;;;;;2;7049;telephone_mobile;Performance pro initial voix;1;21.00;25.20;21.00;20.00;12-mois;innovant1;1;DEFAULT_7049;13,55,108;forfait;;02E111111J7B;601010101;28/09/2017;PROSPECT;desktop;boutique;;;;Foisonnement
WCE287377;22/08/2017 11:08;166.90;En attente de validation des documents;;rib;33.38;200.28;mobile;1,22222E+13;test test;TEST;TEST;Mme;10 rue adresse;;75010;PARIS 10;France;;DEV;600000000;;;;;;;;;;;;;;;;;;3;3038;telephone_mobile;Facture Electronique;1;0.00;0.00;0.00;20.00;;classique;1;FEL;;option_perso;;;;;PROSPECT;desktop;boutique;;;;Foisonnement
WCE287377;22/08/2017 11:08;166.90;En attente de validation des documents;;rib;33.38;200.28;mobile;1,22222E+13;test test;TEST;TEST;Mme;10 rue adresse;;75010;PARIS 10;France;;DEV;600000000;;;;;;;;;;;;;;;;;;4;6330;telephone_mobile;assurance vol;1;6.00;7.20;6.00;20.00;;innovant1;1;assurance vol;;option_perso;;;;;PROSPECT;desktop;boutique;;;;Foisonnement
WCE287377;22/08/2017 11:08;166.90;En attente de validation des documents;;rib;33.38;200.28;mobile;1,22222E+13;test test;TEST;TEST;Mme;10 rue adresse;;75010;PARIS 10;France;;DEV;600000000;;;;;;;;;;;;;;;;;;5;5467;equipements;Chargeur allume cigare lightning 2,4A blanc (12/24 Volts);1;20.00;24.00;20.00;20.00;;;1;3,57121E+12;29,49,76,100,101,102,118;equipement;;;;;PROSPECT;desktop;boutique;;;;Foisonnement
WCE256086;22/08/2017 11:10;439.90;En attente;;facturation;87.98;527.88;mobile;6,48025E+11;test;test;test;Mme;test;;75009;PARIS 09;France;;test;612121212;;;;;;;;;;;;;;;;;;1;7663;telephone_mobile;Sony Xperia XZ bleu 32Go;1;439.90;527.88;439.90;20.00;;;1;225336;13,54,125;mobile;;;;;OBS;MOBILE;boutique;;;;Foisonnement
E266549;22/08/2017 11:24;25.00;En attente;colissimo;cheque;5.00;30.00;equipement;;TEST TEST;TEST;TEST;Sté;rue de paradis;;75010;PARIS 10;France;;;600000000;;;;;;;;;;;;;;;;;;1;4393;equipements;Oreillette Bluetooth® M70 Plantronics;1;25.00;30.00;25.00;20.00;;;1;5,03359E+12;7,29,74;equipement;;;;;OBS;desktop;boutique;;;;
100009410;22/08/2017 11:27;55.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;600000000;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;sylvie.fontanier@orange.com;;600000000;145197344;;1;8103;internet;La fibre pro équilibre;1;55.00;66.00;55.00;20.00;;;1;DEFAULT_8103;127,128,131;internet;;;;;PROSPECT;desktop;boutique;;;;
100009410;22/08/2017 11:27;55.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;600000000;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;sylvie.fontanier@orange.com;;600000000;145197344;;3;5356;internet;Xambox (Découverte);1;0.00;0.00;0.00;20.00;Decouverte;;1;DEFAULT_5356;127,129,133,134,135;option_internet;;;;;PROSPECT;desktop;boutique;;;;
WCE280231;22/08/2017 11:34;234.89;En attente;;facturation;46.98;281.87;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;1;8089;telephone_mobile;Samsung Galaxy Xcover4 noir 16Go;1;209.90;251.88;209.90;20.00;;;1;226486;13,54,97,125;mobile;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE280231;22/08/2017 11:34;234.89;En attente;;facturation;46.98;281.87;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;2;7030;telephone_mobile;forfait smart pro 10Go;1;24.99;29.99;24.99;20.00;sans engagement;smartpro;1;DEFAULT_7030;13,55,111;forfait;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE271485;22/08/2017 11:53;144.90;En attente;;facturation;28.98;173.88;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;1;7060;telephone_mobile;Performance pro intense;1;65.00;78.00;65.00;20.00;24-mois;innovant3;1;DEFAULT_7060;13,55,108;forfait;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE271485;22/08/2017 11:53;144.90;En attente;;facturation;28.98;173.88;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;2;5853;telephone_mobile;Samsung Galaxy S7 noir 32Go;1;29.90;35.88;29.90;20.00;;innovant3;1;223811;13,54,125;mobile;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE271485;22/08/2017 11:53;144.90;En attente;;facturation;28.98;173.88;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;3;2270;telephone_mobile;carte jumelle;1;5.00;6.00;5.00;20.00;;classique;1;SKU-OPM-9;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE271485;22/08/2017 11:53;144.90;En attente;;facturation;28.98;173.88;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;4;3374;telephone_mobile;abondance 21 h vers fixes Asie-Moyen Orient-Océanie;1;20.00;24.00;20.00;20.00;;classique;1;abondance Asie-;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE271485;22/08/2017 11:53;144.90;En attente;;facturation;28.98;173.88;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;5;4393;equipements;Oreillette Bluetooth® M70 Plantronics;1;25.00;30.00;25.00;20.00;;;1;5,03359E+12;7,29,74;equipement;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE252420;22/08/2017 11:58;39.68;En attente;;facturation;7.94;47.62;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;1;7028;telephone_mobile;forfait smart pro 5Go;1;19.99;23.99;19.99;20.00;sans engagement;smartpro;1;DEFAULT_7028;13,55,111;forfait;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE252420;22/08/2017 11:58;39.68;En attente;;facturation;7.94;47.62;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;2;10934;telephone_mobile;Facture Électronique;1;0.00;0.00;0.00;20.00;;classique;1;FEC;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE252420;22/08/2017 11:58;39.68;En attente;;facturation;7.94;47.62;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;3;3173;telephone_mobile;assistance 706;1;5.00;6.00;5.00;20.00;;classique;1;assistance706;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE252420;22/08/2017 11:58;39.68;En attente;;facturation;7.94;47.62;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;4;9544;telephone_mobile;ePresse (25 titres);1;14.69;17.63;14.69;20.00;;classique;1;ePresse-20-cred;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE261046;22/08/2017 15:15;210.39;En attente;;facturation;42.08;252.47;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;2;5213;telephone_mobile;Samsung Galaxy Tab Active noir 16Go;1;119.90;143.88;119.90;20.00;;innovant3;2;221597;13,58,103;mobile;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE261046;22/08/2017 15:15;210.39;En attente;;facturation;42.08;252.47;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;3;6064;telephone_mobile;Business Everywhere pro intense travel;1;78.00;93.60;78.00;20.00;12-mois;innovant3;2;DEFAULT_6064;13,55,109;forfait;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE261046;22/08/2017 15:15;210.39;En attente;;facturation;42.08;252.47;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;4;4975;telephone_mobile;Lookout premium;1;2.49;2.99;2.49;20.00;;classique;2;apps_lookout;;option_perso;;;;;OBS;desktop;boutique;;;;Foisonnement
WCE261046;22/08/2017 15:15;210.39;En attente;;facturation;42.08;252.47;mobile;6,48025E+11;test;test;test;Mme;rue de paradis;;75010;PARIS 10;France;;test;612121212;;;;;;;;;;;;;;;;;;5;5032;equipements;Mini chargeur secteur 2A micro USB;1;10.00;12.00;10.00;20.00;;;2;3,57121E+12;7,29,76;equipement;;;;;OBS;desktop;boutique;;;;Foisonnement
100009516;28/08/2017 12:29;35.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;601010101;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;marjolaine.avinen@orange.com;;601010101;145197344;;1;8100;internet;Internet pro fibre équilibre;1;35.00;35.00;35.00;0.00;;;1;DEFAULT_8100;127,128,131;internet;;;;;PROSPECT;desktop;boutique;;;;
100009516;28/08/2017 12:29;35.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;601010101;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;marjolaine.avinen@orange.com;;601010101;145197344;;3;5356;internet;Xambox (Découverte);1;0.00;0.00;0.00;20.00;Decouverte;;1;DEFAULT_5356;127,129,133,134,135;option_internet;;;;;PROSPECT;desktop;boutique;;;;
100009519;28/08/2017 14:59;40.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;601010101;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;marjolaine.avinen@orange.com;;601010101;145197344;;1;8100;internet;Internet pro fibre équilibre;1;35.00;35.00;35.00;0.00;;;1;DEFAULT_8100;127,128,131;internet;;;;;PROSPECT;desktop;boutique;;;;
100009519;28/08/2017 14:59;40.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;601010101;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;marjolaine.avinen@orange.com;;601010101;145197344;;2;4299;internet;Livebox Pro;1;5.00;6.00;5.00;20.00;;;1;DEFAULT_4299;127,128;internet;;;;;PROSPECT;desktop;boutique;;;;
100009519;28/08/2017 14:59;40.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;601010101;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;marjolaine.avinen@orange.com;;601010101;145197344;;4;5356;internet;Xambox (Découverte);1;0.00;0.00;0.00;20.00;Decouverte;;1;DEFAULT_5356;127,129,133,134,135;option_internet;;;;;PROSPECT;desktop;boutique;;;;
100009520;28/08/2017 15:13;40.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;601010101;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;marjolaine.avinen@orange.com;;601010101;145197344;;1;8100;internet;Internet pro fibre équilibre;1;35.00;35.00;35.00;0.00;;;1;DEFAULT_8100;127,128,131;internet;;;;;PROSPECT;desktop;boutique;;;;
100009520;28/08/2017 15:13;40.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;601010101;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;marjolaine.avinen@orange.com;;601010101;145197344;;2;4299;internet;Livebox Pro;1;5.00;6.00;5.00;20.00;;;1;DEFAULT_4299;127,128;internet;;;;;PROSPECT;desktop;boutique;;;;
100009520;28/08/2017 15:13;40.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;601010101;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;marjolaine.avinen@orange.com;;601010101;145197344;;4;5356;internet;Xambox (Découverte);1;0.00;0.00;0.00;20.00;Decouverte;;1;DEFAULT_5356;127,129,133,134,135;option_internet;;;;;PROSPECT;desktop;boutique;;;;
100009521;28/08/2017 15:20;40.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;601010101;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;marjolaine.avinen@orange.com;;601010101;145197344;;1;8100;internet;Internet pro fibre équilibre;1;35.00;35.00;35.00;0.00;;;1;DEFAULT_8100;127,128,131;internet;;;;;PROSPECT;desktop;boutique;;;;
100009521;28/08/2017 15:20;40.00;En attente;;rib;;;offre_internet;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;;;601010101;145197344;;1,22222E+13;;test;test;Mme;49  Rue Pierre Brossolette;;92300;Levallois-Perret;France;marjolaine.avinen@orange.com;;601010101;145197344;;2;4299;internet;Livebox Pro;1;5.00;6.00;5.00;20.00;;;1;DEFAULT_4299;127,128;internet;;;;;PROSPECT;desktop;boutique;;;;
100009526;28/08/2017 15:46;40.00;En attente;;rib;;;offre_internet;5,22607E+13;;Isabelle;MORIN;Mme;49 rue pierre brossolette;;92300;levallois perret;France;;;655664477;145197344;;5,22607E+13;;Isabelle;MORIN;Mme;49 rue pierre brossolette;;92300;levallois perret;France;mbenmounah.ext@orange.com;;655664477;145197344;;1;8100;internet;Internet pro fibre équilibre;1;35.00;35.00;35.00;0.00;;;1;DEFAULT_8100;127,128,131;internet;;;;;PROSPECT;desktop;boutique;;;;
